 ;CO_UNIDADE;CO_UF;CO_IBGE;NU_CNPJ_MANTENEDORA;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_NATUREZA_ORGANIZACAO;DS_NATUREZA_ORGANIZACAO;TP_GESTAO;CO_NIVEL_HIERARQUIA;DS_NIVEL_HIERARQUIA;CO_ESFERA_ADMINISTRATIVA;DS_ESFERA_ADMINISTRATIVA;CO_ATIVIDADE;TP_UNIDADE;CO_CEP;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;NU_TELEFONE;NU_LATITUDE;NU_LONGITUDE;CO_TURNO_ATENDIMENTO;DS_TURNO_ATENDIMENTO;NU_CNPJ;NO_EMAIL;CO_NATUREZA_JUR;ST_CENTRO_CIRURGICO;ST_CENTRO_OBSTETRICO;ST_CENTRO_NEONATAL;ST_ATEND_HOSPITALAR;ST_SERVICO_APOIO;ST_ATEND_AMBULATORIAL;CO_MOTIVO_DESAB;CO_AMBULATORIAL_SUS
3380459;3551003380459;35;355100;;ROGERIO CORSO ALMEIDA CLINICA MEDICA;CLINICA DR ROGERIO CORSO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310071;JACOB EMERICK;365;CENTRO;13 34692127;-239.677.640.858;-463.851.356.506;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;27398776000168;CONSULTORIOPEDIATRICO_DRCA@HOTMAIL.COM;2135;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3388344;3551003388344;35;355100;;LOURDES APARECIDA NORONHA;LOURDES APARECIDA NORONHA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320001;AV PRESIDENTE WILSON;1473;CENTRO;(13)34683000;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;04;NAO
3421139;3551003421139;35;355100;;MILTON FERREIRA;DR MILTON FERREIRA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310010;AVENIDA PRESIDENTE WILSON;1473;CENTRO;34695151;-239.653.033.253;-463.822.683.692;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3425452;3551003425452;35;355100;;ANA PAULA VILLANI BORDA;ANA PAULA VILLANI BORDA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310060;RUA FREI GASPAR;795;CENTRO;34696121;-23.965.291;-46.387.222;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3431878;3551003431878;35;355100;;LILIAN GRELLET;LILIAN GRELLET SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310060;R FREI GASPAR;931;CENTRO;(13)34699156;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;10;NAO
3446573;3551003446573;35;355100;;ANTONIO JOSE GOUVEIA;ANTONIO JOSE GOUVEIA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11390010;AV PRESIDENTE WILSON;1473;CENTRO;(13)34694909;;;02;ATENDIMENTO SOMENTE A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3450279;3551003450279;35;355100;;MARIA CRISTINA CHIEFFI AAGAARD;MARIA CRISTINA CHIEFFI AAGAARD SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11390010;R FREI GASPAR;637;CENTRO;(13)94694397;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3467414;3551003467414;35;355100;;GRAZIELA DE MELO RABELO FRAYHA;GRAZIELA DE MELO RABELO FRAYHA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310400;RUA QUINZE DE NOVEMBRO;576;CENTRO;(13)34682928;-23.965.569;-46.386.701;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3474852;3551003474852;35;355100;;SANDRA MARA BARBOSA DOS SANTOS;SANDRA MARA BARBOSA DOS SANTOS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320001;AV PRESIDENTE WILSON;1473;CENTRO;(13)34687700;-23.965.412;-46.382.251;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3474968;3551003474968;35;355100;;TERESA CRISTINA C FRABREGA DE CARVALHO;TERESA CRISTINA C FRABREGA DE CARVALHO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310040;R PADRE ANCHIETA;331;CENTRO;(13)34686267;-23.967.204;-46.384.594;02;ATENDIMENTO SOMENTE A TARDE;;consmedsv@gmail.com;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3482448;3551003482448;35;355100;;GILMAR ALVES DE OLIVEIRA;GILMAR ALVES DE OLIVEIRA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11340190;AV PREFEITO JOSE MONTEIRO;422;CENTRO;;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;10;NAO
3518108;3551003518108;35;355100;;IBV INSTITUTO BRASILEIRO DE VISAO LTDA;IBV INSTITUTO BRASILEIRO DE VISAO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11390010;RUA FREI GASPAR;739;CENTRO;(13)35691100;-23.965.656.266;-463.866.484.165;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;04827827000124;ibv@ibv.med.br;2062;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
3565319;3551003565319;35;355100;;MAURITY RIBEIRO DE FREITAS;MAURITY RIBEIRO DE FREITAS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320915;AVENIDA PRESIDENTE WILSON;1473;CENTRO;(13)34682885;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;04;NAO
3584615;3551003584615;35;355100;;THAIS MARIA PEREZ LARANJA GONCALVES;THAIS MARIA PEREZ LARANJA GONCALVES SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310000;JOAO RAMALHO;630;CENTRO;(13)34663875;;;02;ATENDIMENTO SOMENTE A TARDE;;tfono@ig.com.br;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3584623;3551003584623;35;355100;;FABIANA DO CARMO PELEGRINI;FABIANA DO CARMO PELEGRINI SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310060;FREI GASPAR;931;CENTRO;(13)30222745;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;flkapakian@terra.com.br;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3593991;3551003593991;35;355100;;ORTOSERV SERVICOS MEDICOS HOSPITALARES SC LTDA;ORTOSERV SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11310000;PADRE ANCHIETA;331;CENTRO;(13)34686267;;;06;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);03884201000197;;2240;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3594009;3551003594009;35;355100;;RENAULD TEOFILO BELLEGARD FILHO;RENAULD TEOFILO BELLEGARD FILHO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310000;PADRE ANCHIETA;331;CENTRO;(13)32395151;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;04;NAO
3601870;3551003601870;35;355100;;JEAN KHATER FILHO;JEAN KHATER FILHO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310010;RUA MARTIM AFONSO;230;CENTRO;(13)34689696;-239.674.062.491;-463.859.456.778;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3602214;3551003602214;35;355100;;OLGAIR TEREZINHA DO AMARAL BROD;OLGAIR TEREZINHA DO AMARAL BROD SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320001;AVENIDA PRESIDENTE WILSON;1473;CENTRO;(13)34699148;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;0.0;0.0;06;NAO
3605639;3551003605639;35;355100;;SILVIA HELENA BOAVENTURA;SILVIA HELENA BOAVENTURA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320001;AV PRESIDENTE WILSON;1147;CENTRO;13991360671;-2.396.257;-4.637.967;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3606449;3551003606449;35;355100;;SHEILA PROENCA DINIZ;SHEILA PROENCA DINIZ SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320915;AV PRESIDENTE WILSON;1473;CENTRO;(13)34685337;-239.654.601.879;-463.821.879.029;02;ATENDIMENTO SOMENTE A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3607496;3551003607496;35;355100;;ELMA SOBRAL DE GOES;ELMA SOBRAL DE GOES SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310060;RUA FREI GASPAR;739;CENTRO;(13)34671705;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3608859;3551003608859;35;355100;;CLAYTON TIMOTEO BUENO RAMOS;CLAYTON TIMOTEO BUENO RAMOS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310070;RUA JACOB EMMERICH;379;CENTRO;(13)34682270;-23.967.653;-46.385.112;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;dr.claytontimoteo@claytonramos;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3610756;3551003610756;35;355100;;MARCELO HENRIQUE BRITO DOS SANTOS;MARCELO HENRIQUE BRITO DOS SANTOS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310061;RUA FREI GASPAR;931;CENTRO;(13)34683049;;;05;ATENDIMENTO COM TURNOS INTERMITENTES;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3610772;3551003610772;35;355100;;JULIO CESAR ALBINO;JULIO CESAR ALBINO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310061;RUA FREI GASPAR;931;CENTRO;(13)34683049;;;05;ATENDIMENTO COM TURNOS INTERMITENTES;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3617203;3551003617203;35;355100;;JUREMA DA SILVA;JUREMA DA SILVA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310000;RUA FREI GASPAR;931;CENTRO;(13)34684943;-23.964.547;-46.388.612;02;ATENDIMENTO SOMENTE A TARDE;;consultoriojuremadasilvay@gmail.com;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3617246;3551003617246;35;355100;;SIMONE CABRAL REBELO ASSUNCAO;SIMONE CABRAL REBELO ASSUNCAO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310061;RUA FREI GASPAR;931;CENTRO;(13)34672646;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;simoneassuncao@hotmail.com;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3617920;3551003617920;35;355100;;JOSE GUSTAVO LOPES TAVARES;JOSE GUSTAVO LOPES TAVARES SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310071;RUA JACOB EMMERICH;365;CENTRO;(13)34664994;-23.967.755;-46.385.015;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;gusta.acup@hotmail.com;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3626598;3551003626598;35;355100;;ANTONIO JOSE ORSI FALLEIROS;ANTONIO JOSE ORSI FALLEIROS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310000;RUA IPIRANGA;333;CENTRO;(13)34671954;-239.646.905.788;-463.873.887.062;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;drantonio_falleiros@hotmail.com;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3627039;3551003627039;35;355100;;ANA PAULA RODRIGUES FERNANDES SOUZA MARQUES;ANA PAULA RODRIGUES FERNANDES SOUZA MARQUES SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310080;FREI GASPAR;931;CENTRO;(13)35681549;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;bombys@ibest.com.br;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3627063;3551003627063;35;355100;;VICENTINA PORTOLESI GONCALVES;VICENTINA PORTOLESI GONCALVES SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310080;FREI GASPAR;739;CENTRO;(13)34673740;;;01;ATENDIMENTO SOMENTE PELA MANHA;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;10;NAO
3627101;3551003627101;35;355100;;ALFREDO RECLUSA ILSE;ALFREDO RECLUSA ILSE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310000;FREI GASPAR;739;CENTRO;(13)34673740;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;alfedroilse@bignet.com.br;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3627136;3551003627136;35;355100;;JULIO CESAR MENDONCA PINHEIRO;JULIO CESAR MENDONCA PINHEIRO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320001;AV PRESIDENTE WILSON;1473;CENTRO;(13)34686267;-239.654.405.801;-463.820.618.391;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;consmedsv@gmail.com;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3627152;3551003627152;35;355100;;PAULO ROBERTO ALONSO CARNEIRO;PAULO ROBERTO ALONSO CARNEIRO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310060;IPIRANGA;333;CENTRO;(13)34671954;-23.964.665;-46.387.425;02;ATENDIMENTO SOMENTE A TARDE;;recepcao_clinica@hotmail.com;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3627179;3551003627179;35;355100;;RICARDO GONCALVES;RICARDO GONCALVES SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310061;RUA FREI GASPAR;739;CENTRO;(13)34673740;;;02;ATENDIMENTO SOMENTE A TARDE;;rgoncalves52@uol.com.br;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3627195;3551003627195;35;355100;;JOSE LUIZ SOARES MAGALHAES;JOSE LUIZ SOARES MAGALHAES SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310000;RUA IPIRANGA;333;CENTRO;(13)34671954;;;02;ATENDIMENTO SOMENTE A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;04;NAO
3636879;3551003636879;35;355100;;CARLY ARIGON FELIPPI;CARLY ARIGON FELIPPI SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310050;AV PRESIDENTE WILSON;1147;CENTRO;(13)30224947;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;carlyfono@uol.com.br;4000;0.0;0.0;0.0;0.0;1.0;0.0;10;NAO
3636887;3551003636887;35;355100;;ROSEMARY MENDES FRANCISCO;ROSEMARY MENDES FRANCISCO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320001;AV PRESIDENTE WILSON;1473;CENTRO;(13)34693596;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;rosemarymf@terra.com.br;4000;0.0;0.0;0.0;0.0;1.0;0.0;11;NAO
3648222;3551003648222;35;355100;;VERAS CLINICA MEDICA LTDA;VERAS CLINICA MEDICA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310000;RUA IPIRANGA;333;CENTRO;(13)34671954;-239.646.436.428;-463.873.935.457;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;21458961000114;bedulatti@uol.com.br;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3648257;3551003648257;35;355100;;CASSIUS MARCELLIUS CAMPOS BITTENCOURT;CASSIUS MARCELLIUS CAMPOS BITTENCOURT SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320001;AV PRESIDENTE WILSON;1473;CENTRO;(13)34693799;-23.965.367;-4.638.224;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;camcbittencourt@gmail.com;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3651991;3551003651991;35;355100;;GERSON ARANHA;GERSON ARANHA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310060;RUA FREI GASPAR;739;CENTRO;(13)34683868;-23.965.625;-46.386.685;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;g.aranha@atribuna.com.br;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3654524;3551003654524;35;355100;;VIVIANA ZAPAROLLI DE OLIVEIRA MENEZES;VIVIANA ZAPAROLLI DE OLIVEIRA MENEZES SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310100;AV CAP MOR AGUIAR;658;CENTRO;(13)34671133;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;04;NAO
3669041;3551003669041;35;355100;;DULCE MARIA OLIVEIRA SANTOS FREIRE;DULCE MARIA OLIVEIRA SANTOS FREIRE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310080;RUA XV DE NOVEMBRO;260;CENTRO;(13)34693999;;;04;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;04;NAO
3669068;3551003669068;35;355100;;DENISE LIE MOLINA GROSSI;DENISE LIE MOLINA GROSSI SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310020;AV CAPITAO MOR AGUIAR;658;CENTRO;(13)34671133;;;01;ATENDIMENTO SOMENTE PELA MANHA;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;04;NAO
3669092;3551003669092;35;355100;;CENTRO TERAPEUTICO MULTIDISCIPLINAR LTDA;CENTRO TERAPEUTICO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310010;RUA MARTIM AFONSO;251;CENTRO;(13)34665969;-239.672.282;-463.857.822;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;57730558000140;cterapeutico1@hotmail.com;2240;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3669122;3551003669122;35;355100;;CENTRO MEDICO SAO LUIZ GONZAGA SC LTDA;CENTRO MEDICO SAO LUIZ GONZAGA SC LTDA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;4;11310903;AV CAPITAO MOR AGUIAR;658;CENTRO;(13)34671133;-239.653.760.433;-463.914.110.187;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;02354328000131;;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3669130;3551003669130;35;355100;;MARIA LUIZA MOURA SALES;MARIA LUIZA MOURA SALES SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310061;RUA FREI GASPAR;931;CENTRO;34688798;-23.964.537;-46.388.633;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;luizasales@hotmail.com;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3682285;3551003682285;35;355100;;HELVECIO SIQUEIRA;HELVECIO SIQUEIRA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310100;RUA BENJAMIM CONSTANT;46;CENTRO;(13)34687126;;;02;ATENDIMENTO SOMENTE A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3682293;3551003682293;35;355100;;EDISON GERALDO TAGLIETA;EDISON GERALDO TAGLIETA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310100;RUA JOAO RAMALHO;1055;CENTRO;(13)34681001;;;02;ATENDIMENTO SOMENTE A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3682315;3551003682315;35;355100;;MARCIA ROSSETTO;MARCIA ROSSETTO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310500;BENJAMIN CONSTANT;61;CENTRO;(13)34686429;-23.963.693;-46.385.101;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;rossetto.mc@uol.com.br;4000;0.0;0.0;0.0;0.0;1.0;0.0;11;NAO
3705692;3551003705692;35;355100;;JOSE MARIA EVANGELISTA BARBOSA DOS SANTOS;JOSE MARIA EVANGELISTA BARBOSA DOS SANTOS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310030;RUA EXPEDICIONARIOS VICENTINOS;80;CENTRO;(13)34676919;-2.396.426;-4.638.502;01;ATENDIMENTO SOMENTE PELA MANHA;;amandah-fernandes@hotmail.com;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3705730;3551003705730;35;355100;;MAX MATOS SERRUYA;MAX MATOS SERRUYA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310510;RUA EXPEDICIONARIOS VICENTINOS;80;CENTRO;(13)34676919;-239.647.969;-463.843.035;02;ATENDIMENTO SOMENTE A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3716937;3551003716937;35;355100;;ROBERTO ALCANTARA ZARATE;ROBERTO ALCANTARA ZARATE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320100;AV PRESIDENTE WILSON;1033;CENTRO;(13)34676566;-239.673.531.522;-4.637.858.259;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3716953;3551003716953;35;355100;;HELCIO LUIS RIGO GADDINI;HELCIO LUIS RIGO GADDINI SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320100;AV PRESIDENTE WILSON;1033;CENTRO;(13)34676566;-239.673.727.597;-463.785.504.034;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3717038;3551003717038;35;355100;;ELI CELICE DIAS;ELI CELICE DIAS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320100;AV PRESIDENTE WILSON;1033;CENTRO;(13)34676566;-239.686.624;-46.375.718;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3718522;3551003718522;35;355100;;CLINICA RADIOLOGICA DE SANTOS SC LTDA;CLINICA RADIOLOGICA DE SANTOS SC LTDA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11310421;RUA IPIRANGA;263;CENTRO;(13)34684412;-23.965.182.855;-463.877.052.457;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;58238007000207;mariavieira@crs.com.br;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3719235;3551003719235;35;355100;;ALETHEA GOUVEIA DIAS CABRAL;ALETHEA GOUVEIA DIAS CABRAL SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310010;RUA MARTIM AFONSO;251;CENTRO;(13)30131646;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3727327;3551003727327;35;355100;;FUNDACAO PRIMEIRA S VICENTE P DES CULT CIENTPREST SERV;FUNDASV FUNDACAO SAO VICENTE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11320001;AVPRESIDENTE WILSON;1473;CENTRO;(13)34697869;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;05239394000159;diiretoria@fundasv.org.br;3069;0.0;0.0;0.0;0.0;1.0;0.0;10;NAO
3763366;3551003763366;35;355100;;MARIA CRISTINA SILVA PINTO PIEDADE;MARIA CRISTINA SILVA PINTO PIEDADE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310050;RUA JOAO RAMALHO;1100;CENTRO;34687274;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;04;NAO
3763374;3551003763374;35;355100;;CARLOS ALBERTO SILVA PINTO;CARLOS ALBERTO SILVA PINTO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310090;RUA JOAO RAMALHO;1100;CENTRO;34687274;;;02;ATENDIMENTO SOMENTE A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3769526;3551003769526;35;355100;;JOSE AUGUSTO FALEIROS DINIZ;JOSE AUGUSTO FALEIROS DINIZ SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310030;PRACA DA BANDEIRA;23;CENTRO;34668133;;;02;ATENDIMENTO SOMENTE A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;07;NAO
3769550;3551003769550;35;355100;;VALDIRENE FATIMA DE OLIVEIRA SIQUEIRA;VALDIRENE FATIMA DE OLIVEIRA SIQUEIRA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310000;RUA BENJAMIN CONSTANT;46;CENTRO;34687126;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3769569;3551003769569;35;355100;;GILBERTO SIQUEIRA;GILBERTO SIQUEIRA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310000;RUA BENJAMIN CONSTANT;46;CENTRO;34697126;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;04;NAO
3769577;3551003769577;35;355100;;OSWALDIR DIAS;OSWALDIR DIAS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310000;RUA BENJAMIN CONSTANT;46;CENTRO;34687126;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3831663;3551003831663;35;355100;;MARIA LYGIA TOLEDO SAWAYA ALVES;MARIA LYGIA TOLEDO SAWAYA ALVES SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310061;RUA FREI GASPAR;637;CENTRO;34697462;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3835073;3551003835073;35;355100;;ATUAL ODONTOLOGIA E PREVENCAO LTDA;ODONTO PREV SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320001;AV PRESIDENTE WILSON;1169;CENTRO;34682013;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;04737768000101;;2240;0.0;0.0;0.0;0.0;1.0;0.0;10;NAO
3839532;3551003839532;35;355100;;OLIVEIRA MESQUITA SERVICOS MEDICOS LTDA;CLINICA MEDICA SAO JOSE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;39;11320020;TIBIRICA;439;CENTRO;13 35690200;-239.654.699.919;-463.820.511.103;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;44279506000157;FINANCEIRO@CMSAOJOSE.COM.BR;2240;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
